Ticker,No. of Trades,Return,Avg_Return,BuyHold_Return
PCJEWELLER,71,1.0419777743645198,1.0005793313154776,1.0905824727991866
PRSMJOHNSN,72,1.0704257973874498,1.0009456761866802,1.257665825501578
RVNL,25,1.0021525713265864,1.0000860140135637,0.9410315913599074
RCF,18,1.0047295933411455,1.0002621701358871,0.9791928511560379
SHK,61,1.0037830814650484,1.0000619026307864,1.0365959738183619
RAYMOND,21,1.0730429564354722,1.0033627125511058,1.036142995783223
REDINGTON,58,1.0050648045389738,1.0000871076136564,1.1140037759988934
SJVN,35,1.0046735311253607,1.0001332272764285,1.0022776330427838
SKFINDIA,29,1.0037726420313338,1.0001298547567905,1.0284998982081297
RELCAPITAL,74,1.16479971827193,1.0020636013897075,1.1383495353648942
RELINFRA,60,1.023508203054947,1.0003873440115982,0.9083059833201025
RPOWER,246,16.114823143263155,1.0113638376006566,1.2631273074672205
SPICEJET,22,1.0049360352560195,1.0002238383650732,1.0320214035455535
RENUKA,95,1.1449523148598035,1.0014258891907584,1.1061336623562872
SOUTHBANK,74,1.4166679042149826,1.0047179536858595,0.9558867980272744
SUNDRMFAST,47,1.0117823602507943,1.0002492542224184,1.0431375459159358
SUZLON,219,15.401922295276194,1.012564545216568,1.2881017399916663
TVTODAY,46,1.0171323891788175,1.0003693569950234,1.0403612915282057
TATASTEEL,24,1.0029457074685666,1.0001225649010346,1.0980285694935146
TORNTPOWER,17,1.0006832383323625,1.000040177573645,0.9536938567485482
TRIDENT,28,1.053464567155578,1.0018618854545946,1.0875817597668989
UCOBANK,74,1.0646030554273656,1.000846331068309,0.9435540854927432
VIPIND,15,1.0040225535086715,1.0002676681281415,0.9186126585044463
IDEA,107,1.3161369113155317,1.0025705961201778,0.8652980295638719
3MINDIA,26,1.0097902593923629,1.0003747873429276,1.0212395456504282
AJANTPHARM,31,1.0159058259341585,1.000509182939662,1.0236952969075968
AMBER,48,1.0253815588875363,1.0005223196092141,1.0574778141070755
ASHOKLEY,20,1.0096278763783424,1.000479205969182,1.0694184164125202
ASHOKA,32,1.0068545439809868,1.0002134964870872,0.9360618613660713
BAJAJHLDNG,34,1.0040549597194632,1.0001190294519064,0.9183275989739256
BANKINDIA,17,1.0101918769523823,1.000596665580625,0.9451943175370356
MAHABANK,102,1.1297704080967426,1.0011969356917845,0.9778783749062914
BERGEPAINT,17,1.0009689840696998,1.0000569730880626,1.0898178241314584
BHARTIARTL,22,1.0054067773647084,1.0002451306403848,1.0427087114582139
BLUEDART,58,1.020217757610192,1.0003451645963544,1.1237313248494432
CENTURYPLY,43,1.006619612661198,1.0001534489636383,1.0564383346998358
DELTACORP,25,1.0052880670213458,1.0002109876264187,1.0259999545671115
DHFL,57,1.039178587127598,1.0006744480573777,1.1789681342850264
DISHTV,88,1.1033543056717932,1.0011182942422916,0.8088413003610387
DRREDDY,19,1.0015107407086559,1.0000794558242336,0.9676058958895365
ERIS,21,1.0009049316430338,1.00004307342474,0.9413104021753077
FCONSUMER,49,1.176582990601077,1.0033241754481577,0.8238801691506734
FSL,25,1.0035478659702326,1.0001416735203592,0.9658970647163383
FRETAIL,34,1.0083077303270995,1.0002433652285485,0.7566496218705411
GODFRYPHLP,24,1.0030039071317942,1.0001249829937933,0.9747610241695824
GODREJPROP,28,1.0302939617980538,1.0010664311382593,1.1307421700824007
GESHIP,41,1.005542852918788,1.0001348273283721,0.9468672980032449
GUJALKALI,29,1.0070214102104722,1.0002413006562938,0.943498273247281
GSPL,38,1.0016430428378127,1.0000432034205995,0.9944422579867443
GSFC,40,1.007700437209355,1.0001917918940313,1.140409994560786
HIMATSEIDE,52,1.0276300448917954,1.0005242763030977,1.4317916054170323
HDFC,24,1.0146115161720304,1.0006045908806602,1.1378924483849628
IFCI,236,2.7004350096489507,1.0042182484573938,0.9430951768443344
IFBIND,46,1.0087868960006534,1.0001902032144714,1.1970220124820365
IOB,122,1.247436716893436,1.001813862894015,0.989305875447794
INOXLEISUR,24,1.0085270133969038,1.0003538485801318,0.9559417766449592
JISLJALEQS,69,1.0467790567934245,1.0006627975908422,0.9393999919481038
J_KBANK,93,1.0477402370996531,1.0005015847818375,0.9732469090465956
JUSTDIAL,42,1.0042497979459704,1.0001009763610624,1.8306985056336895
JUBLFOOD,14,1.0029502828751082,1.0002104463787052,0.9331508525620202
KAJARIACER,31,1.0132767168976393,1.0004255535450215,1.02964067965164
KOTAKBANK,16,1.050219699310751,1.0030671553576074,1.2386752174235793
LAKSHVILAS,48,1.0139051470791005,1.0002877363356404,0.7888234896249049
LAURUSLABS,48,1.0065682100909652,1.0001363995805372,1.1453507919086368
MAHINDCIE,63,1.0051761147448324,1.0000819520040825,0.9382820812504835
MINDTREE,39,1.0274090179362032,1.000693576732339,0.9801357191404939
METROPOLIS,42,1.0038784222458577,1.0000921690224587,1.0685526133699625
MPHASIS,46,1.0008209533500267,1.0000178396493886,1.011286858476834
NCC,39,1.0051597019364829,1.0001319686118626,0.9505699706962201
MCX,24,1.001726661033168,1.0000718847530734,0.9315072670007696
NBCC,15,1.0057946824562647,1.000385271388759,0.9622680053920784
NHPC,18,1.0032632641204016,1.0001810136715061,0.9852594464974731
NAM-INDIA,17,1.0046363797144142,1.0002721349521246,1.0549603958387765
