Ticker,No. of Trades,Return,Avg_Return,BuyHold_Return
OBEROIRLTY,267,1.0021501729244826,1.0000080444691017,1.1136492231398931
ONGC,269,0.9413252854053884,0.9997752426647925,0.9286300996809032
OIL,258,0.9896219554878598,0.9999595656549887,0.9589699443843247
OFSS,269,0.9741663328338273,0.9999027065288943,1.000485708790474
ORIENTCEM,278,1.1365189595127303,1.0004604298737287,1.0789816959198075
PCJEWELLER,264,1.0126528635628493,1.0000476279711499,1.0905824727991866
ORIENTELEC,261,1.2230051740685928,1.0007716043816366,1.171869032398536
PIIND,270,1.157364727418885,1.0005414266444037,1.0830844798948513
PNBHOUSING,267,0.9982703014570818,0.9999935161401263,1.0146892249152162
PERSISTENT,270,0.9784871522935928,0.9999194564947887,0.8786418666066425
PNCINFRA,268,1.0792524283889442,1.0002846248469293,1.096732483283703
PFIZER,269,1.0326328310091997,1.000119381428244,1.0100491143218016
PETRONET,258,0.9306065240913227,0.9997212840850606,1.0540235688558919
PTC,264,0.9597380819005576,0.9998443497545327,0.9884708064570502
PHILIPCARB,270,1.0157186440027788,1.0000577660595475,1.0678728688451231
PVR,269,0.9324145634972553,0.9997398934894164,0.8948179440248661
PHOENIXLTD,258,0.9535922192080099,0.9998158342393096,0.9873150367338622
PFC,256,0.9654287269238745,0.9998625758509865,0.9659319227379416
PAGEIND,273,0.9371556871151904,0.9997622778733002,0.9521613627464759
PIDILITIND,277,1.0901438115327928,1.0003116356411674,1.1109361764918915
PARAGMILK,263,0.9941125993737296,0.9999775485421779,0.9957670930836106
POWERGRID,262,1.0549187013064973,1.0002040807589954,1.0428396019944945
PEL,237,0.9401078956802711,0.9997394405858203,0.971489738562653
PRAJIND,260,1.0584679707246225,1.0002185721604067,1.0494862896935957
PRESTIGE,264,0.9485451835431108,0.9997999220868117,0.9925139014121128
POLYCAB,283,1.0752122290514776,1.00025628041184,1.0971889552484642
PRSMJOHNSN,252,1.2648708711789804,1.0009328556284909,1.257665825501578
PGHH,275,1.0705131681960678,1.000247805716762,1.0507412268022347
