Ticker,No. of Trades,Return,Avg_Return,BuyHold_Return
ORIENTELEC,261,1.2230051740685928,1.0007716043816366,1.171869032398536
PIIND,270,1.157364727418885,1.0005414266444037,1.0830844798948513
PRSMJOHNSN,252,1.2648708711789804,1.0009328556284909,1.257665825501578
SOUTHBANK,223,1.2052416616527144,1.0008374809665104,0.9558867980272744
TATASTLBSL,280,1.166787679479205,1.0005510603484116,1.148568384797157
ULTRACEMCO,263,1.1514615121879657,1.000536387209727,1.1472506100809317
BANDHANBNK,283,1.158955382741096,1.0005214046731457,1.0769711944410494
BLUEDART,263,1.1509015095772372,1.0005345365652651,1.1237313248494432
DIXON,266,1.1795874134621478,1.0006211128397968,1.005212991032656
FCONSUMER,239,1.1410438825284643,1.000552217394368,0.8238801691506734
HDFC,275,1.1663392548230285,1.0005596838435609,1.1378924483849628
LAKSHVILAS,267,1.1441089660634578,1.0005043448862412,0.7888234896249049
MAGMA,261,1.2437039101167369,1.0008359582284776,1.0728784729137155
